created_at,closed_at,summary,address
2017-01-31T18:46:00-05:00,,Street Light Out,"1718 S. Longmore Mesa, Arizona"
2017-01-31T18:32:37-05:00,,Parking Enforcement,"601-649 31st St Oakland, CA 94609, USA"
2017-01-31T18:25:45-05:00,,Street Signs,"118 Church St Decatur, GA 30030, USA"
2017-01-31T18:24:53-05:00,,Post to neighbors,"1727-1753 Lathrop Way Sacramento, California"
2017-01-31T18:23:09-05:00,,Street Light Outage,235 Grogans Lake Pointe
2017-01-31T18:07:21-05:00,,Parking Enforcement,"4410 San Carlos Ave Oakland, CA 94601, USA"
2017-01-31T18:05:51-05:00,,Code Enforcement (Illegal Dumping not in a street/Property Maintenance/Etc),"1625 S Main St Corona, CA 92882, USA"
2017-01-31T18:02:38-05:00,,Code Enforcement (Illegal Dumping not in a street/Property Maintenance/Etc),"1322 S Main St Corona, CA 92882, USA"
2017-01-31T17:59:15-05:00,,Street Light (Not Traffic Signal),"Macarthur Fwy & I-580 & Coolidge Ave Oakland, CA 94602, USA"
2017-01-31T17:58:26-05:00,,Pothole,"2725-2737 Harold St Oakland, CA 94602, USA"
2017-01-31T17:51:42-05:00,,Code Enforcement (Illegal Dumping not in a street/Property Maintenance/Etc),"1104 Fullerton Ave Corona, CA 92879, USA"
2017-01-31T17:51:03-05:00,,Graffiti all over the place,"1700 Jefferson Oakland, California"
2017-01-31T17:50:50-05:00,,SNOW RELATED,"Highview Lane New haven , Ct"
2017-01-31T17:46:19-05:00,,Ligts,"1653 Shatz St Las Vegas, Nevada"
2017-01-31T17:42:20-05:00,,Code Enforcement Issue,"2456 Maple Street Atlanta, Georgia"
2017-01-31T17:42:17-05:00,,Abandoned vehicle,"440 Arlingdale Circle Rio Linda, California"
2017-01-31T17:41:54-05:00,,Non-EV cars parking in City Hall charging station parking spaces ,"1-9 Warren St Gloucester, MA 01930, USA"
2017-01-31T17:39:56-05:00,,We need speed bumps,Perkins St & Jayne Ave Oakland Ca
2017-01-31T17:32:40-05:00,,Damaged Electric Car Charging Station,"301-329 Wacouta Street Saint Paul, Minnesota"
2017-01-31T17:19:16-05:00,,SNOW RELATED,"10 Field St New Haven, Connecticut"
2017-01-31T17:18:06-05:00,,Awful traffic management ,"1301-1571 Old Covington Rd Ne Conyers, GA 30013, USA"
2017-01-31T17:11:17-05:00,,Parking Enforcement,"542 Chetwood St Oakland, CA 94610, USA"
2017-01-31T17:02:04-05:00,,Signs / Bus Shelters / Pavement Markings,"167 Hazel Street New Haven, Connecticut"
2017-01-31T16:52:31-05:00,,"Yard and/or Structure Concern (High Grass, Junk, Broken Down Vehicles, Buildings, Sheds, Garages)","2552 Foraker Avenue Toledo, Ohio"
2017-01-31T16:48:19-05:00,,Litter/Shopping Carts,"86 Copeland St Quincy, Massachusetts"
